Satellite,Time,S4C,Lat,Lon
G18,2025-07-09 06:36:29,0.419401,17.773655,98.83111
G05,2025-07-09 06:36:49,0.447362,18.326689,106.193766
G29,2025-07-10 04:24:19,0.503542,17.478233,97.990665
G05,2025-07-10 06:55:29,0.427284,17.710779,107.697341
G23,2025-07-10 07:27:59,0.400547,18.117303,98.546287
G23,2025-07-10 07:28:29,0.408322,18.116245,98.569079
G12,2025-07-11 00:59:09,0.596406,19.765456,95.624552
G12,2025-07-11 00:59:19,0.499798,19.74793,95.636172
G05,2025-07-11 05:33:49,0.601591,18.392838,102.899224
G05,2025-07-11 05:33:59,0.470451,18.395169,102.907936
G24,2025-07-11 05:40:39,0.42078,9.267142,102.025667
G24,2025-07-11 05:40:49,0.451698,9.27733,102.027463
G24,2025-07-11 05:40:59,0.50454,9.287502,102.029249
G24,2025-07-11 05:41:09,0.509702,9.297658,102.031025
G24,2025-07-11 05:41:19,0.519988,9.307798,102.032792
G24,2025-07-11 05:41:29,0.516532,9.317922,102.034548
G24,2025-07-11 05:41:39,0.488314,9.328029,102.036296
G24,2025-07-11 05:41:49,0.462274,9.338121,102.038033
G24,2025-07-11 05:41:59,0.447735,9.348197,102.039762
G24,2025-07-11 05:42:09,0.439484,9.358257,102.04148
G05,2025-07-11 05:33:49,0.601591,18.392838,102.899224
G05,2025-07-11 05:33:59,0.470451,18.395169,102.907936
G24,2025-07-11 05:40:39,0.42078,9.267142,102.025667
G24,2025-07-11 05:40:49,0.451698,9.27733,102.027463
G24,2025-07-11 05:40:59,0.50454,9.287502,102.029249
G24,2025-07-11 05:41:09,0.509702,9.297658,102.031025
G24,2025-07-11 05:41:19,0.519988,9.307798,102.032792
G24,2025-07-11 05:41:29,0.516532,9.317922,102.034548
G24,2025-07-11 05:41:39,0.488314,9.328029,102.036296
G24,2025-07-11 05:41:49,0.462274,9.338121,102.038033
G24,2025-07-11 05:41:59,0.447735,9.348197,102.039762
G24,2025-07-11 05:42:09,0.439484,9.358257,102.04148
G05,2025-07-11 06:51:19,0.410336,17.713204,107.701725
G05,2025-07-11 06:51:39,0.403221,17.701392,107.7236
G05,2025-07-11 06:51:59,0.406654,17.6895,107.74547
G05,2025-07-11 06:52:19,0.408289,17.677528,107.767335
G05,2025-07-11 06:52:49,0.437701,17.659419,107.800123
G05,2025-07-11 06:52:59,0.430234,17.653343,107.81105
G05,2025-07-11 06:53:09,0.419074,17.647246,107.821975
G05,2025-07-11 06:53:39,0.400905,17.628837,107.854743
G05,2025-07-12 05:13:59,0.446733,18.12439,102.130953
G05,2025-07-12 05:14:39,0.414277,18.137673,102.161636
G05,2025-07-12 05:43:19,0.509479,18.541708,103.649114
G23,2025-07-12 06:20:09,0.422483,17.308643,95.794427
G23,2025-07-12 06:29:19,0.583524,17.552995,96.2011
G23,2025-07-12 06:53:39,0.551907,17.99299,97.326926
G23,2025-07-12 06:53:49,0.456916,17.994923,97.334768
G23,2025-07-12 11:41:49,0.415428,9.94796,103.958681
G23,2025-07-12 11:41:59,0.417356,9.935915,103.963109
G23,2025-07-12 11:42:09,0.427611,9.923836,103.967554
G23,2025-07-12 11:42:19,0.410079,9.911723,103.972018
G25,2025-07-13 02:47:09,0.440555,16.490989,95.004352
G05,2025-07-13 05:57:49,0.495322,18.582116,104.770305
G05,2025-07-13 06:13:09,0.445583,18.449652,105.748829
G05,2025-07-13 06:13:19,0.460477,18.447331,105.759659
G23,2025-07-13 06:38:49,0.409729,17.837155,96.824655
G05,2025-07-13 06:44:39,0.405492,17.658247,107.820552
G08,2025-07-13 19:12:49,0.584824,18.328171,103.10293
G08,2025-07-13 19:12:59,0.412923,18.336692,103.111378
G05,2025-07-14 05:05:39,0.41333,18.12561,102.133061
G05,2025-07-14 05:34:39,0.453682,18.541858,103.633228
G05,2025-07-14 06:09:09,0.46405,18.44953,105.762745
G05,2025-07-15 06:15:09,0.425794,18.273666,106.432449
G09,2025-07-16 15:41:19,0.449373,19.811788,96.008568
G06,2025-07-17 02:38:49,0.51242,17.944851,107.867468
G20,2025-07-17 04:36:59,0.421514,19.137251,105.354726
G05,2025-07-17 05:22:29,0.441299,18.549157,103.656958
G05,2025-07-17 05:56:29,0.465635,18.45932,105.760862
G05,2025-07-17 05:56:39,0.40895,18.457013,105.771728
G05,2025-07-18 05:18:19,0.430202,18.550636,103.658293
G18,2025-07-18 05:41:59,0.468133,18.658316,98.024474
G18,2025-07-18 05:42:09,0.400169,18.649519,98.033366
G12,2025-07-19 08:37:09,0.403295,11.733946,108.173498
G12,2025-07-19 08:37:39,0.438509,11.768899,108.16536
G12,2025-07-19 08:37:49,0.435633,11.780525,108.16265
G12,2025-07-19 08:37:59,0.463015,11.792138,108.159942
G12,2025-07-19 08:38:09,0.444764,11.803738,108.157235
G12,2025-07-19 08:38:19,0.439763,11.815326,108.154529
G12,2025-07-19 08:38:29,0.452413,11.826901,108.151825
G12,2025-07-19 08:38:39,0.4213,11.838463,108.149123
G12,2025-07-19 08:38:49,0.414067,11.850013,108.146423
G05,2025-07-20 04:38:09,0.422579,18.078033,102.02424
G05,2025-07-20 04:40:09,0.433926,18.119444,102.114888
G23,2025-07-20 05:36:09,0.433434,16.954204,95.317699
G18,2025-07-20 05:51:39,0.516006,17.777167,98.82662
G18,2025-07-20 05:51:49,0.46183,17.769467,98.832872
G18,2025-07-20 05:51:59,0.53004,17.761777,98.839105
G10,2025-07-20 12:47:09,0.686046,9.002357,102.332921
G10,2025-07-20 12:47:19,0.674623,8.988662,102.336994
G10,2025-07-20 12:47:29,0.642431,8.974925,102.341085
G10,2025-07-20 12:47:39,0.518981,8.961145,102.345197
G10,2025-07-20 12:47:49,0.43217,8.947323,102.349328
G04,2025-07-20 18:54:49,0.417187,5.897257,101.350399
G06,2025-07-22 02:17:49,0.431911,17.964319,107.863814
G05,2025-07-22 05:32:39,0.421909,18.508607,105.576214
G07,2025-07-22 16:35:49,0.41318,20.270986,95.401443
G07,2025-07-22 16:35:59,0.450709,20.262482,95.417034
G07,2025-07-22 16:43:49,0.450579,19.863088,96.104508
G05,2025-07-23 05:42:49,0.515723,18.272665,106.522428
G15,2025-07-23 07:21:59,0.512294,19.921169,105.716486
G15,2025-07-23 07:22:09,0.482318,19.928315,105.732791
G23,2025-07-23 07:59:19,0.408315,16.624268,101.551199
G24,2025-07-23 07:59:19,0.416623,16.618986,103.146996
G28,2025-07-23 07:59:19,0.401604,8.644009,97.742083
G23,2025-07-23 07:59:29,0.432608,16.619668,101.555084
G23,2025-07-23 07:59:39,0.456215,16.615065,101.558962
G32,2025-07-23 07:59:39,0.454381,14.791975,96.549718
G23,2025-07-23 07:59:49,0.457183,16.610459,101.562832
G24,2025-07-23 07:59:49,0.487436,16.643346,103.159086
G28,2025-07-23 07:59:49,0.476262,8.688478,97.758903
G32,2025-07-23 07:59:49,0.473185,14.798145,96.552867
G23,2025-07-23 07:59:59,0.460803,16.60585,101.566694
G24,2025-07-23 07:59:59,0.500672,16.651499,103.16315
G28,2025-07-23 07:59:59,0.461868,8.703206,97.764459
G32,2025-07-23 07:59:59,0.483557,14.80431,96.556018
G23,2025-07-23 08:00:09,0.463085,16.601238,101.570548
G24,2025-07-23 08:00:09,0.507364,16.659668,103.167231
G28,2025-07-23 08:00:09,0.468958,8.717887,97.769991
G32,2025-07-23 08:00:09,0.486237,14.81047,96.559171
G23,2025-07-23 08:00:19,0.458807,16.596623,101.574395
G24,2025-07-23 08:00:19,0.520031,16.667853,103.171329
G28,2025-07-23 08:00:19,0.451644,8.73252,97.775498
G32,2025-07-23 08:00:19,0.49485,14.816625,96.562327
G24,2025-07-23 08:00:29,0.430181,16.676054,103.175445
G28,2025-07-23 08:00:29,0.42566,8.747107,97.780981
G32,2025-07-23 08:00:29,0.464704,14.822775,96.565484
G25,2025-07-23 09:07:09,0.492486,12.057392,104.226823
G25,2025-07-23 09:07:19,0.568021,12.064979,104.226191
G25,2025-07-23 09:07:29,0.427922,12.072559,104.225559
G10,2025-07-24 08:33:39,0.425518,17.810254,99.428935
G10,2025-07-24 08:33:49,0.429252,17.804398,99.435101
G29,2025-07-25 03:19:09,0.448122,17.652082,97.897687
G24,2025-07-25 04:42:19,0.48867,9.207373,102.018488
G24,2025-07-25 04:42:29,0.453125,9.217658,102.020336
G05,2025-07-25 05:23:49,0.411859,18.467318,105.822012
G23,2025-07-25 05:24:29,0.460343,17.235866,95.693208
